,Date,Route,Succeeded,Battery Voltage AVG,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solare Radiation AVG
0,11/27/2015,Disappointment Cleaver,0,13.64375,26.32166667,19.715,27.83958333,68.00416667,88.49625
1,11/21/2015,Disappointment Cleaver,0,13.74958333,31.3,21.69070833,2.245833333,117.5496667,93.66041667
2,10/15/2015,Disappointment Cleaver,0,13.46125,46.44791667,27.21125,17.163625,259.121375,138.387
3,10/13/2015,Little Tahoma,0,13.53208333,40.97958333,28.33570833,19.59116667,279.7791667,176.3826667
4,10/9/2015,Disappointment Cleaver,0,13.21625,38.26041667,74.32916667,65.13833333,264.6875,27.79129167
5,10/3/2015,Disappointment Cleaver,0,13.5775,31.82291667,62.33708333,13.12504167,153.9316667,196.3752083
6,10/3/2015,Disappointment Cleaver,0,13.5775,31.82291667,62.33708333,13.12504167,153.9316667,196.3752083
7,10/2/2015,Kautz Glacier,0,13.505,36.06416667,47.017375,6.445916667,247.3183333,176.2655417
8,10/2/2015,Disappointment Cleaver,0,13.505,36.06416667,47.017375,6.445916667,247.3183333,176.2655417
9,9/30/2015,Disappointment Cleaver,0,13.48333333,38.72958333,57.36958333,11.30075,216.9341667,202.81275
10,9/28/2015,Disappointment Cleaver,1,13.50333333,38.33541667,27.02541667,17.11520833,270.8666667,201.8525833
11,9/27/2015,Disappointment Cleaver,1,13.50458333,35.105,23.76833333,4.557083333,188.2135833,201.8912083
12,9/26/2015,Disappointment Cleaver,0,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.8717083
13,9/26/2015,Disappointment Cleaver,1,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.8717083
14,9/26/2015,Disappointment Cleaver,0,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.8717083
15,9/25/2015,Disappointment Cleaver,1,13.03708333,32.39041667,95.30583333,61.3875,261.0333333,12.38258333
16,9/25/2015,Disappointment Cleaver,1,13.03708333,32.39041667,95.30583333,61.3875,261.0333333,12.38258333
17,9/24/2015,Disappointment Cleaver,0,13.55375,36.09958333,60.97875,51.61083333,265.4166667,180.315875
18,9/24/2015,Disappointment Cleaver,1,13.55375,36.09958333,60.97875,51.61083333,265.4166667,180.315875
19,9/23/2015,Disappointment Cleaver,0,13.5425,30.87583333,70.45,35.44875,263.3833333,138.2574583
20,9/22/2015,Disappointment Cleaver,0,13.47,34.56541667,21.985,22.35341667,247.15875,215.4495417
21,9/21/2015,Disappointment Cleaver,0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
22,9/21/2015,Disappointment Cleaver,0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
23,9/21/2015,Disappointment Cleaver,0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
24,9/21/2015,Disappointment Cleaver,0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
25,9/21/2015,Disappointment Cleaver,1,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
26,9/20/2015,Disappointment Cleaver,0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.1435833
27,9/20/2015,Disappointment Cleaver,1,13.47,37.6425,68.0775,31.28666667,40.02583333,215.1435833
28,9/20/2015,Disappointment Cleaver,0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.1435833
29,9/20/2015,Disappointment Cleaver,0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.1435833
30,9/19/2015,Disappointment Cleaver,0,13.48041667,40.44916667,63.53708333,7.953916667,34.0375,219.4595
31,9/19/2015,Disappointment Cleaver,0,13.48041667,40.44916667,63.53708333,7.953916667,34.0375,219.4595
32,9/19/2015,Disappointment Cleaver,0,13.48041667,40.44916667,63.53708333,7.953916667,34.0375,219.4595
33,9/19/2015,Disappointment Cleaver,0,13.48041667,40.44916667,63.53708333,7.953916667,34.0375,219.4595
34,9/18/2015,Disappointment Cleaver,0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
35,9/18/2015,Disappointment Cleaver,0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
36,9/18/2015,Disappointment Cleaver,0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
37,9/18/2015,Disappointment Cleaver,0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
38,9/18/2015,Disappointment Cleaver,0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
39,9/17/2015,Disappointment Cleaver,0,13.61083333,26.44208333,85.25291667,9.367166667,28.55166667,203.176375
40,9/16/2015,Disappointment Cleaver,0,13.59958333,22.08,98.65,15.922375,17.27916667,142.4772917
41,9/15/2015,Disappointment Cleaver,0,13.54166667,19.81375,54.48041667,7.827708333,13.49,153.95775
42,9/14/2015,Disappointment Cleaver,1,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
43,9/14/2015,Disappointment Cleaver,1,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
44,9/14/2015,Disappointment Cleaver,1,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
45,9/14/2015,Disappointment Cleaver,1,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
46,9/14/2015,Disappointment Cleaver,1,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
47,9/13/2015,Disappointment Cleaver,0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
48,9/13/2015,Disappointment Cleaver,0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
49,9/13/2015,Disappointment Cleaver,0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
50,9/13/2015,Disappointment Cleaver,0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
51,9/12/2015,Disappointment Cleaver,0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.1054167
